Date	MSFT	VTI
2015-08-18	47.27	108.57
2015-08-19	46.610001000000004	107.599998
2015-08-20	45.66	105.260002
2015-08-21	43.07	102.230003
2015-08-24	41.68	98.120003
2015-08-25	40.470001	96.949997
2015-08-26	42.709998999999996	100.470001
2015-08-27	43.900002	102.900002
2015-08-28	43.93	102.980003
2015-08-31	43.52	102.209999
2015-09-01	41.82	99.209999
2015-09-02	43.360001000000004	101.07
2015-09-03	43.5	101.199997
2015-09-04	42.610001000000004	99.760002
2015-09-08	43.889998999999996	102.269997
2015-09-09	43.07	100.870003
2015-09-10	43.290001000000004	101.410004
2015-09-11	43.48	101.860001
2015-09-14	43.040001000000004	101.470001
2015-09-15	43.98	102.75
2015-09-16	44.299999	103.620003
2015-09-17	44.25	103.470001
2015-09-18	43.48	101.839996
2015-09-21	44.110001000000004	102.25
2015-09-22	43.900002	100.879997
2015-09-23	43.869999	100.68
2015-09-24	43.91	100.269997
2015-09-25	43.939999	99.610001
2015-09-28	43.290001000000004	96.940002
2015-09-29	43.439999	96.889999
2015-09-30	44.259997999999996	98.720001
2015-10-01	44.610001000000004	98.91999799999999
2015-10-02	45.57	100.360001
2015-10-05	46.630001	102.209999
2015-10-06	46.75	101.879997
2015-10-07	46.799999	102.800003
2015-10-08	47.450001	103.690002
2015-10-09	47.110001000000004	103.83000200000001
2015-10-12	47.0	103.849998
2015-10-13	46.889998999999996	103.089996
2015-10-14	46.68	102.559998
2015-10-15	47.009997999999996	104.110001
2015-10-16	47.509997999999996	104.510002
2015-10-19	47.619999	104.629997
2015-10-20	47.77	104.510002
2015-10-21	47.200001	103.690002
2015-10-22	48.029999	105.209999
2015-10-23	52.869999	106.309998
2015-10-26	54.25	106.050003
2015-10-27	53.689999	105.709999
2015-10-28	53.98	107.099998
2015-10-29	53.360001000000004	106.940002
2015-10-30	52.639998999999996	106.529999
2015-11-02	53.240002000000004	107.93
2015-11-03	54.150002	108.199997
2015-11-04	54.400002	107.91999799999999
2015-11-05	54.380001	107.82
2015-11-06	54.919998	107.839996
2015-11-09	54.16	106.760002
2015-11-10	53.509997999999996	107.0
2015-11-11	53.650002	106.540001
2015-11-12	53.32	104.949997
2015-11-13	52.84	103.839996
2015-11-16	53.77	105.349998
2015-11-17	52.970001	105.220001
2015-11-18	53.849998	106.900002
2015-11-19	53.939999	106.760002
2015-11-20	54.189999	107.220001
2015-11-23	54.189999	107.110001
2015-11-24	54.25	107.389999
2015-11-25	53.689999	107.470001
2015-11-27	53.93	107.629997
2015-11-30	54.349998	107.16999799999999
2015-12-01	55.220001	108.18
2015-12-02	55.209998999999996	107.050003
2015-12-03	54.200001	105.449997
2015-12-04	55.91	107.389999
2015-12-07	55.810001	106.550003
2015-12-08	55.790001000000004	105.910004
2015-12-09	54.98	105.0
2015-12-10	55.27	105.309998
2015-12-11	54.060001	103.239998
2015-12-14	55.139998999999996	103.610001
2015-12-15	55.200001	104.720001
2015-12-16	56.130001	106.239998
2015-12-17	55.700001	104.68
2015-12-18	54.130001	102.900002
2015-12-21	54.830002	103.129997
2015-12-22	55.349998	104.059998
2015-12-23	55.82	105.360001
2015-12-24	55.669998	105.230003
2015-12-28	55.950001	105.0
2015-12-29	56.549999	106.120003
2015-12-30	56.310001	105.32
2015-12-31	55.48	104.300003
2016-01-04	54.799999	102.739998
2016-01-05	55.049999	102.970001
2016-01-06	54.049999	101.589996
2016-01-07	52.169998	99.099998
2016-01-08	52.330002	97.970001
2016-01-11	52.299999	97.910004
2016-01-12	52.779999	98.58000200000001
2016-01-13	51.639998999999996	96.040001
2016-01-14	53.110001000000004	97.510002
2016-01-15	50.990002000000004	95.459999
2016-01-19	50.560001	95.360001
2016-01-20	50.790001000000004	94.41999799999999
2016-01-21	50.48	94.790001
2016-01-22	52.290001000000004	96.809998
2016-01-25	51.790001000000004	95.220001
2016-01-26	52.169998	96.66999799999999
2016-01-27	51.220001	95.57
2016-01-28	52.060001	95.949997
2016-01-29	55.09	98.33000200000001
2016-02-01	54.709998999999996	98.349998
2016-02-02	53.0	96.449997
2016-02-03	52.16	97.029999
2016-02-04	52.0	97.260002
2016-02-05	50.16	95.260002
2016-02-08	49.41	93.779999
2016-02-09	49.279999	93.660004
2016-02-10	49.709998999999996	93.720001
2016-02-11	49.689999	92.559998
2016-02-12	50.5	94.360001
2016-02-16	51.09	96.08000200000001
2016-02-17	52.419998	97.66999799999999
2016-02-18	52.189999	97.279999
2016-02-19	51.82	97.300003
2016-02-22	52.650002	98.720001
2016-02-23	51.18	97.529999
2016-02-24	51.360001000000004	98.029999
2016-02-25	52.099998	99.190002
2016-02-26	51.299999	99.110001
2016-02-29	50.880001	98.32
2016-03-01	52.580002	100.660004
2016-03-02	52.950001	101.220001
2016-03-03	52.349998	101.720001
2016-03-04	52.029999	102.07
2016-03-07	51.029999	102.279999
2016-03-08	51.650002	101.010002
2016-03-09	52.84	101.5
2016-03-10	52.049999	101.470001
2016-03-11	53.07	103.190002
2016-03-14	53.169998	103.07
2016-03-15	53.59	102.239998
2016-03-16	54.349998	102.879997
2016-03-17	54.66	103.66999799999999
2016-03-18	53.490002000000004	104.129997
2016-03-21	53.860001000000004	104.230003
2016-03-22	54.07	104.199997
2016-03-23	53.970001	103.349998
2016-03-24	54.209998999999996	103.32
2016-03-28	53.540001000000004	103.389999
2016-03-29	54.709998999999996	104.540001
2016-03-30	55.049999	104.940002
2016-03-31	55.23	104.82
2016-04-01	55.57	105.480003
2016-04-04	55.43	105.040001
2016-04-05	54.560001	104.019997
2016-04-06	55.119999	105.160004
2016-04-07	54.459998999999996	103.900002
2016-04-08	54.419998	104.199997
2016-04-11	54.310001	103.910004
2016-04-12	54.650002	104.91999799999999
2016-04-13	55.349998	106.150002
2016-04-14	55.360001000000004	106.110001
2016-04-15	55.650002	106.059998
2016-04-18	56.459998999999996	106.769997
2016-04-19	56.389998999999996	107.07
2016-04-20	55.59	107.18
2016-04-21	55.779999	106.650002
2016-04-22	51.779999	106.800003
2016-04-25	52.110001000000004	106.540001
2016-04-26	51.439999	106.83000200000001
2016-04-27	50.939999	107.089996
2016-04-28	49.900002	106.129997
2016-04-29	49.869999	105.510002
2016-05-02	50.610001000000004	106.33000200000001
2016-05-03	49.779999	105.260002
2016-05-04	49.869999	104.639999
2016-05-05	49.939999	104.599998
2016-05-06	50.389998999999996	104.980003
2016-05-09	50.07	105.089996
2016-05-10	51.02	106.339996
2016-05-11	51.049999	105.370003
2016-05-12	51.509997999999996	105.33000200000001
2016-05-13	51.080002	104.41999799999999
2016-05-16	51.830002	105.459999
2016-05-17	50.509997999999996	104.510002
2016-05-18	50.810001	104.5
2016-05-19	50.32	104.089996
2016-05-20	50.619999	104.889999
2016-05-23	50.029999	104.760002
2016-05-24	51.59	106.160004
2016-05-25	52.119999	106.93
2016-05-26	51.889998999999996	106.910004
2016-05-27	52.32	107.389999
2016-05-31	53.0	107.339996
